condition,lux,iso,shutter_us,speed_kmh,frame,bew_h,bew_v
40000lx_1250_250us_50,40000,1250,250,50,09.png,2.9361,1.7311
40000lx_1250_250us_50,40000,1250,250,50,10.png,2.9792,1.7584
40000lx_1250_250us_70,40000,1250,250,70,01.png,3.2914,1.8380
40000lx_1250_250us_70,40000,1250,250,70,02.png,3.2559,1.8760
40000lx_1250_250us_70,40000,1250,250,70,03.png,3.3069,1.8921
40000lx_1250_250us_70,40000,1250,250,70,04.png,3.2785,1.8557
40000lx_1250_250us_70,40000,1250,250,70,05.png,3.2809,1.8528
40000lx_1250_250us_70,40000,1250,250,70,06.png,3.2402,1.9542
40000lx_1250_250us_70,40000,1250,250,70,07.png,3.2925,1.8470
40000lx_1250_250us_70,40000,1250,250,70,08.png,3.2370,1.8960
40000lx_1250_250us_70,40000,1250,250,70,09.png,3.2760,1.8802
40000lx_1250_250us_70,40000,1250,250,70,10.png,3.2404,1.8656
40000lx_1600_025us_00,40000,1600,25,0,01.png,0.9399,1.1071
40000lx_1600_025us_00,40000,1600,25,0,02.png,0.9580,1.1329
40000lx_1600_025us_00,40000,1600,25,0,03.png,0.9420,1.1073
40000lx_1600_025us_00,40000,1600,25,0,04.png,0.9465,1.1307
40000lx_1600_025us_00,40000,1600,25,0,05.png,0.9481,1.1119
40000lx_1600_025us_00,40000,1600,25,0,06.png,0.9481,1.1174
40000lx_1600_025us_00,40000,1600,25,0,07.png,0.9406,1.1149
40000lx_1600_025us_00,40000,1600,25,0,08.png,0.9450,1.1068
40000lx_1600_025us_00,40000,1600,25,0,09.png,0.9490,1.1261
40000lx_1600_025us_00,40000,1600,25,0,10.png,0.9520,1.1143
40000lx_1600_025us_50,40000,1600,25,50,01.png,0.9525,1.0871
40000lx_1600_025us_50,40000,1600,25,50,02.png,0.9651,1.1374
40000lx_1600_025us_50,40000,1600,25,50,03.png,0.9843,1.1283
40000lx_1600_025us_50,40000,1600,25,50,04.png,0.9653,1.1167
40000lx_1600_025us_50,40000,1600,25,50,05.png,0.9653,1.1360
40000lx_1600_025us_50,40000,1600,25,50,06.png,0.9838,1.1247
40000lx_1600_025us_50,40000,1600,25,50,07.png,0.9717,1.1242
40000lx_1600_025us_50,40000,1600,25,50,08.png,0.9370,1.0821
40000lx_1600_025us_50,40000,1600,25,50,09.png,0.9594,1.1346
40000lx_1600_025us_50,40000,1600,25,50,10.png,0.9604,1.1262
40000lx_1600_025us_70,40000,1600,25,70,01.png,0.9711,1.1309
40000lx_1600_025us_70,40000,1600,25,70,02.png,0.9663,1.1231
40000lx_1600_025us_70,40000,1600,25,70,03.png,0.8915,0.9999
40000lx_1600_025us_70,40000,1600,25,70,04.png,0.9660,1.1232
40000lx_1600_025us_70,40000,1600,25,70,05.png,0.9586,1.1133
40000lx_1600_025us_70,40000,1600,25,70,06.png,0.9502,1.0867
40000lx_1600_025us_70,40000,1600,25,70,07.png,0.9806,1.1293
40000lx_1600_025us_70,40000,1600,25,70,08.png,0.9779,1.1347
40000lx_1600_025us_70,40000,1600,25,70,09.png,0.9661,1.1265
40000lx_1600_025us_70,40000,1600,25,70,10.png,0.9688,1.1269
40000lx_1600_025us_80,40000,1600,25,80,01.png,1.0008,1.1328
40000lx_1600_025us_80,40000,1600,25,80,02.png,0.9775,1.1314
40000lx_1600_025us_80,40000,1600,25,80,03.png,0.9940,1.1391
40000lx_1600_025us_80,40000,1600,25,80,04.png,0.9778,1.1096
40000lx_1600_025us_80,40000,1600,25,80,05.png,0.9916,1.1402
40000lx_1600_025us_80,40000,1600,25,80,06.png,0.9823,1.1333
40000lx_1600_025us_80,40000,1600,25,80,07.png,0.9905,1.1504
40000lx_1600_025us_80,40000,1600,25,80,08.png,0.9752,1.1283
